strategy,timeframe,ETHUSDT_stars,SOLUSDT_stars,SPY_stars,ETHUSDT_win_rate,SOLUSDT_win_rate,SPY_win_rate,avg_stars,bot_ready,trade_type
Gooners-BTC-Weekly-RSI-Hack-Strategy_1_1_1,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
BuySell-Strategy-depends-on-AOStochRSIATR_1_1_1,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
RSI与EMA结合的动态多周期量化交易策略-Dynamic-Multi-Period-Quantitative-Trading-Strategy-Combining-RSI-and-EMA,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
RSI与双EMA交叉信号量化策略-RSI-and-Dual-EMA-Crossover-Signal-Quantitative-Strategy,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
RSI与Supertrend趋势跟踪型自适应波动策略-RSI-and-Supertrend-Trend-Following-Adaptive-Volatility-Strategy,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
Bollinger-RSI-Double-Strategy-v11_1_1_1,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
Bollinger-RSI-Double-Strategy-v11,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
RSI与SuperTrend过滤策略组合系统趋势确认下的动量反转交易框架-RSI-and-SuperTrend-Filter-Combination-System-Momentum-Reversal-Trading-Framework-with-Trend-Confirmation,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
动态成交量均线趋势跟踪与HLCC4突破交易策略-Dynamic-Volume-Weighted-Moving-Average-Trend-Following-with-HLCC4-Breakout-Trading-Strategy,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
动态支撑阻力SMA交叉黄金交易策略三重确认与风险管理优化框架-Dynamic-Support-Resistance-SMA-Crossover-Trading-Strategy-Triple-Confirmation-with-Risk-Management-Optimization-Framework,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
动态支撑阻力突破均线交叉策略-Dynamic-Support-Resistance-Breakout-Moving-Average-Crossover-Strategy,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
多时间周期MACD零轴交叉反转策略scillator-Profile-Reversal-Strategy-Based-on-Multi-Timeframe-MACD-Zero-crossing,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
动态指标驱动的趋势跟踪策略结合风险管理系统-Dynamic-Indicator-Driven-Trend-Following-Strategy-with-Risk-Management-System,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
Heikin-Ashi-Heikin-Ashi-Non-Repainting-Trend-Confirmation-Strategy_1_1_1,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
ETHUSDTPERP-BOT-30min_2_1,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
RSI_now_sb_ok_1_1_1,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
RSI_now_sb_ok_1_1,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
RSI_now_sb_ok,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
RSI与MA均线交叉的趋势追踪策略RSI-and-MA-Crossover-Trend-Tracking-Strategy,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
RSI与MACD结合的多空策略-RSI-and-MACD-Combined-Long-Short-Strategy,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
Bollinger-Bands和RSI组合策略Bollinger-Bands-and-RSI-Combination-Strategy,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
Bollinger-Bands动量反转量化策略Bollinger-Bands-Momentum-Reversal-Quantitative-Strategy,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
Bollinger-Bands与RSI组合交易策略Bollinger-Bands-and-RSI-Combination-Trading-Strategy,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
ETHUSDTPERP-BOT-30min_1_1_1,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
EMA追踪趋势交易策略EMA-Trend-Following-Trading-Strategy,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
HulkThe-Hulk-Pullback-Reversal-Strategy_1,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
Hulk-The-Hulk-Pullback-Reversal-Strategy_1_1_1,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
基于价格与SMA交叉的量化交易策略Quantitative-Trading-Strategy-Based-on-Price-Crossover-with-SMA,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
动态指数移动平均趋势识别与ATR阈值策略-Dynamic-EMA-Trend-Detection-with-ATR-Threshold-Strategy,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
Bollinger-BandsRSIBollinger-Bands-and-RSI-Combination-Strategy_1_1_1,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
Bollinger-BandsRSI-Momentum-Reversal-Quantitative-Trading-Strategy-Combining-Bollinger-Bands-and-RSI_1_1_1,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
Bollinger-Bands-布林带策略精准交易实现最大收益-Bollinger-Bands-Strategy-Precision-Trading-for-Maximum-Gains,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
RSI与MACD交叉多周期动态交易策略-RSI-and-MACD-Cross-Period-Dynamic-Trading-Strategy,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
RSISupertrend-RSI-and-Supertrend-Trend-Following-Adaptive-Volatility-Strategy_1,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
基于指数移动平均线和MACD指标的量化交易策略Strategy-Based-on-Exponential-Moving-Average-and-MACD-Indicator,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
EMA辅助极点反转交易策略-EMA-Assisted-Extreme-Point-Reversal-Trading-Strategy,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
EMA趋势动量K线形态策略-EMA-Trend-Momentum-Candlestick-Pattern-Strategy,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
多指标融合交易策略Multi-indicator-Composite-Trading-Strategy,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
多指标自适应趋势交易策略Multi-indicator-Adaptive-Trend-Trading-Strategy,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
动态双重技术指标超卖超买确认交易策略-Dynamic-Dual-Technical-Indicator-Oversold-Overbought-Confirmation-Trading-Strategy,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
Hull-Hull-Moving-Average-Trend-Following-Strategy_1_1_1,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
Hulk回撤反转策略The-Hulk-Pullback-Reversal-Strategy,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
RSISuperTrend-RSI-and-SuperTrend-Filter-Combination-System-Momentum-Reversal-Trading-Framework-with-Trend-Confirmation_1,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
RSI与EMA双重过滤策略RSI-and-EMA-Dual-Filter-Strategy,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
Bollinger-Bands与RSI结合的动量反转量化交易策略-Momentum-Reversal-Quantitative-Trading-Strategy-Combining-Bollinger-Bands-and-RSI,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
Bollinger-Bands-Stochastic-RSI-Extreme-Strategy-BBSR-Extreme-Strategy_1_1_1,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
Bollinger-BandsRSIBollinger-Bands-and-RSI-Combination-Trading-Strategy_1_1_1,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
RSI与AO协同趋势追踪型量化交易策略-RSI-and-AO-Synergistic-Trend-Following-Quantitative-Trading-Strategy,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
RSI上升的加密趋势策略RSI-Rising-Crypto-Trending-Strategy,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
RSIRSI-and-Bollinger-Bands-Quantitative-Trading-Strategy_1,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
CCI-CCI-Momentum-Divergence-Trend-Trading-Strategy_1_1_1,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
RSIRSI-and-Bollinger-Bands-Dual-Strategy_1,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
Bollinger-Bands-Stochastic-RSI-Extreme,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
Bollinger-BandsBollinger-Bands-Momentum-Reversal-Quantitative-Strategy_1_1_1,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
RSISupertrend趋势跟踪交易策略-RSISupertrend-Trend-Following-Trading-Strategy,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
RSISupertrend-RSISupertrend-Trend-Following-Trading-Strategy_1_1_1,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
Hull移动平均的趋势跟踪策略Hull-Moving-Average-Trend-Following-Strategy,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
基于交易量平均价和Stairstep-EMA-的策略Volume-Price-Trend-Reversal-Forex-Trading-Strategy-Based-on-Stairstep-EMA,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
动态公允价值缺口日内交易策略基于SMC理论的多时间框架回测系统-Dynamic-Fair-Value-Gap-Intraday-Trading-Strategy-A-Multi-Timeframe-Backtesting-System-Based-on-Smart-Money-Concept-Theory,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
动态信号线趋势追踪与波动率过滤策略-Dynamic-Signal-Line-Trend-Following-and-Volatility-Filtering-Strategy,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
动量平滑移动平均线与移动平均线交叉策略Momentum-Smooth-Moving-Average-Line-and-Moving-Average-Line-Crossover-Strategy,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
基于交叉移动均线的趋势追踪自适应期望值评估策略-Trend-Following-Adaptive-Expected-Value-Assessment-Strategy-Based-on-Crossover-Moving-Averages,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
